Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
C1,CP_Radial_D10.0mm_P5.00mm,1,680uF,
C2,CP_Radial_D6.3mm_P2.50mm,1,220uF,
"C3, C4",CP_Radial_D4.0mm_P1.50mm,2,16V/10uF,
"C5, C6",CP_Radial_D4.0mm_P1.50mm,2,0.1uf,
D1,D_DO-201AD_P15.24mm_Horizontal,1,1N5824,
D2,LED_D5.0mm,1,LED,
J1,TE_282837-2,1,Conn_01x02,
J10,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,Sensor_Forward,
J11,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,Sensor_Right_45,
J12,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,Sensor_Right,
J13,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Line_left,
J14,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Motor Right_Font,
J15,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Motor Right_Back,
J16,TE_282837-2,1,M1 Right,
J17,TE_282837-2,1,M2  Right,
J2,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Right_back,
"J20, J21",SAMTEC_ZSS-105-01-S-D-480,2,Motor Driver XY-160D,
J3,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Line_right,
J4,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Motor Left_Font,
J5,TE_282837-2,1,M1 Left,
J6,TE_282837-2,1,M2 Left,
J7,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Motor Left_Back,
J8,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,Sensor_left,
J9,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,Sensor_Left_45,
L1,L_Radial_D12.5mm_P7.00mm_Fastron_09HCP,1,33uH,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
"SW1, SW4",SW_Push_1P1T_NO_CK_KSC9xxJ,2,User_Button,
U1,XCVR_ESP32-S3-DEVKITC-1-N32R8V,1,ESP32-S3-DEVKITC-1-N32R8V,
U2,TO-263-5_TabPin3,1,LM2596S-5,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
